npi,name,enumeration_type,last_updated_epoch,number,addresses,practiceLocations,basic,taxonomies,identifiers,endpoints,other_names,country_code_practiceLocations,country_name_practiceLocations,address_purpose_practiceLocations,address_type_practiceLocations,address_1_practiceLocations,city_practiceLocations,state_practiceLocations,postal_code_practiceLocations,telephone_number_practiceLocations,fax_number_practiceLocations,address_2_practiceLocations,organization_name_basic,organizational_subpart_basic,enumeration_date_basic,last_updated_basic,certification_date_basic,status_basic,authorized_official_first_name_basic,authorized_official_last_name_basic,authorized_official_telephone_number_basic,authorized_official_title_or_position_basic,authorized_official_credential_basic,authorized_official_name_prefix_basic,authorized_official_name_suffix_basic,authorized_official_middle_name_basic,parent_organization_legal_business_name_basic,code_taxonomies,taxonomy_group_taxonomies,desc_taxonomies,state_taxonomies,license_taxonomies,primary_taxonomies,organization_name_otherNames,type_otherNames,code_otherNames,services,service_slugs,service_categories,search_terms
temp_00001,1148313886000,NPI-2,1189005740000,1588618540,"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '76 PROGRESS DR', 'city': 'STAMFORD', 'state': 'CT', 'postal_code': '069023600', 'telephone_number': '203-359-0130', 'fax_number': '203-967-5917'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '76 PROGRESS DR', 'city': 'STAMFORD', 'state': 'CT', 'postal_code': '069023600', 'telephone_number': '203-359-0130', 'fax_number': '203-967-5917'}]",[],"{'organization_name': 'STAMFORD RADIOLOGICAL ASSOCIATES', 'organizational_subpart': 'NO', 'enumeration_date': '2006-05-22', 'last_updated': '2007-09-05', 'status': 'A', 'authorized_official_first_name': 'MELANIE', 'authorized_official_last_name': 'MASSELL', 'authorized_official_telephone_number': '2033590130', 'authorized_official_title_or_position': 'Business Manager', 'authorized_official_name_prefix': '--', 'authorized_official_name_suffix': '--'}","[{'code': '2085R0202X', 'taxonomy_group': '193400000X - Multiple Single Specialty Group', 'desc': 'Radiology, Diagnostic Radiology', 'state': None, 'license': None, 'primary': True}]",[],[],[],,,,,,,,,,,,STAMFORD RADIOLOGICAL ASSOCIATES,NO,2006-05-22,2007-09-05,,A,MELANIE,MASSELL,2033590130,Business Manager,,--,--,,,2088P0231X,193200000X - Multi-Specialty Group,"Urology, Pediatric Urology",,,False,,,,CT Scan|Esophagram (Barium Swallow)|Fluoroscopy|MRI (1.5T and 3T)|Small Bowel Follow Through|Ultrasound|Upper GI Series (Barium)|X-Ray,ct_scan|esophagram|fluoroscopy|mri|small_bowel_follow_through|ultrasound|upper_gi_series|x_ray,Gastrointestinal Imaging|General Imaging,x-ray|x_ray|xray|radiograph|ct scan|ct_scan|ct|cat scan|mri (1.5t and 3t)|mri|ultrasound|sonogram|fluoroscopy|live x-ray|fluoro|esophagram (barium swallow)|esophagram|barium swallow|eso swallow|upper gi series (barium)|upper_gi_series|ugi|upper gi|small bowel follow through|small_bowel_follow_through|sbft|small bowel
temp_00002,1324491235000,NPI-2,1324491235000,1770852667,"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '30 SHELBURNE RD', 'city': 'STAMFORD', 'state': 'CT', 'postal_code': '069023628', 'telephone_number': '203-276-1000'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '30 SHELBURNE RD', 'city': 'STAMFORD', 'state': 'CT', 'postal_code': '069023628', 'telephone_number': '203-276-1000'}]",[],"{'organization_name': 'SOUTHWEST CONNECTICUT RADIOLOGY, LLC', 'organizational_subpart': 'NO', 'enumeration_date': '2011-12-21', 'last_updated': '2011-12-21', 'status': 'A', 'authorized_official_first_name': 'SHARON', 'authorized_official_last_name': 'KIELY', 'authorized_official_telephone_number': '2032761000', 'authorized_official_title_or_position': 'Owner', 'authorized_official_name_prefix': '--', 'authorized_official_name_suffix': '--', 'authorized_official_credential': 'M.D.'}","[{'code': '2085R0202X', 'taxonomy_group': '193400000X - Single Specialty Group', 'desc': 'Radiology, Diagnostic Radiology', 'state': None, 'license': None, 'primary': True}]",[],[],[],US,United States,LOCATION,DOM,35 KENNEDY DR,PUTNAM,CT,062601939,860-889-7345,,,"SOUTHWEST CONNECTICUT RADIOLOGY, LLC",NO,2011-12-21,2011-12-21,,A,SHARON,KIELY,2032761000,Owner,M.D.,--,--,,,208800000X,193200000X - Multi-Specialty Group,Urology,,,False,,,,CT Scan|Esophagram (Barium Swallow)|Fluoroscopy|MRI (1.5T and 3T)|Small Bowel Follow Through|Ultrasound|Upper GI Series (Barium)|X-Ray,ct_scan|esophagram|fluoroscopy|mri|small_bowel_follow_through|ultrasound|upper_gi_series|x_ray,Gastrointestinal Imaging|General Imaging,x-ray|x_ray|xray|radiograph|ct scan|ct_scan|ct|cat scan|mri (1.5t and 3t)|mri|ultrasound|sonogram|fluoroscopy|live x-ray|fluoro|esophagram (barium swallow)|esophagram|barium swallow|eso swallow|upper gi series (barium)|upper_gi_series|ugi|upper gi|small bowel follow through|small_bowel_follow_through|sbft|small bowel
temp_00003,1181160597000,NPI-2,1758309647000,1780887950,"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': 'PO BOX 230', 'city': 'GLASTONBURY', 'state': 'CT', 'postal_code': '060330230', 'telephone_number': '860-346-7400'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '140 MAIN ST', 'address_2': 'METRO SQUARE', 'city': 'MIDDLETOWN', 'state': 'CT', 'postal_code': '064573437', 'telephone_number': '860-346-7400', 'fax_number': '860-346-7900'}]",[],"{'organization_name': ""MANDELL & BLAU, MD'S PC"", 'organizational_subpart': 'NO', 'enumeration_date': '2007-06-06', 'last_updated': '2025-09-19', 'certification_date': '2025-09-19', 'status': 'A', 'authorized_official_first_name': 'NEAL', 'authorized_official_last_name': 'BARKOFF', 'authorized_official_telephone_number': '8603467400', 'authorized_official_title_or_position': 'PRESIDENT', 'authorized_official_credential': 'MD'}","[{'code': '2085R0202X', 'taxonomy_group': '193400000X - Single Specialty Group', 'desc': 'Radiology, Diagnostic Radiology', 'state': None, 'license': None, 'primary': True}]","[{'code': '01', 'desc': 'Other (non-Medicare)', 'issuer': 'ConnectiCare', 'identifier': '060857', 'state': 'CT'}, {'code': '01', 'desc': 'Other (non-Medicare)', 'issuer': 'Anthem BC/BS', 'identifier': '15MRI0016CT05', 'state': 'CT'}, {'code': '01', 'desc': 'Other (non-Medicare)', 'issuer': 'Wellcare/Preferred One', 'identifier': '222094', 'state': 'CT'}, {'code': '01', 'desc': 'Other (non-Medicare)', 'issuer': 'Healthnet', 'identifier': '2V0862', 'state': 'CT'}, {'code': '05', 'desc': 'MEDICAID', 'issuer': None, 'identifier': '4000931', 'state': 'CT'}, {'code': '01', 'desc': 'Other (non-Medicare)', 'issuer': 'Oxford', 'identifier': 'A369503', 'state': 'CT'}, {'code': '01', 'desc': 'Other (non-Medicare)', 'issuer': 'Railroad Medicare', 'identifier': 'CJ5750', 'state': 'CT'}]",[],"[{'organization_name': 'OPEN MRI OF MIDDLETOWN', 'type': 'Doing Business As', 'code': '3'}]",,,,,,,,,,,,"MANDELL & BLAU, MD'S PC",NO,2007-06-06,2025-09-19,2025-09-19,A,NEAL,BARKOFF,8603467400,PRESIDENT,MD,,,,,208800000X,193200000X - Multi-Specialty Group,Urology,,,False,OPEN MRI AT BUCKLAND HILLS,Doing Business As,3,CT Scan|Esophagram (Barium Swallow)|Fluoroscopy|MRI (1.5T and 3T)|Small Bowel Follow Through|Ultrasound|Upper GI Series (Barium)|X-Ray,ct_scan|esophagram|fluoroscopy|mri|small_bowel_follow_through|ultrasound|upper_gi_series|x_ray,Gastrointestinal Imaging|General Imaging,x-ray|x_ray|xray|radiograph|ct scan|ct_scan|ct|cat scan|mri (1.5t and 3t)|mri|ultrasound|sonogram|fluoroscopy|live x-ray|fluoro|esophagram (barium swallow)|esophagram|barium swallow|eso swallow|upper gi series (barium)|upper_gi_series|ugi|upper gi|small bowel follow through|small_bowel_follow_through|sbft|small bowel
temp_00004,1224615785000,NPI-2,1552335399000,1538311592,"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': 'PO BOX 610', 'city': 'WINDSOR', 'state': 'CT', 'postal_code': '060950610', 'telephone_number': '860-489-7314'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '540 LITCHFIELD ST', 'city': 'TORRINGTON', 'state': 'CT', 'postal_code': '067906679', 'telephone_number': '860-489-7314'}]",[],"{'organization_name': 'TORRINGTON RADIOLOGISTS', 'organizational_subpart': 'NO', 'enumeration_date': '2008-10-21', 'last_updated': '2019-03-11', 'status': 'A', 'authorized_official_first_name': 'STEPHEN', 'authorized_official_last_name': 'GO', 'authorized_official_middle_name': 'D', 'authorized_official_telephone_number': '8604897314', 'authorized_official_title_or_position': 'MD'}","[{'code': '2085R0202X', 'taxonomy_group': '193400000X - Single Specialty Group', 'desc': 'Radiology, Diagnostic Radiology', 'state': None, 'license': None, 'primary': True}]",[],[],"[{'organization_name': 'ADVANCED MEDICAL IMAGING', 'type': 'Doing Business As', 'code': '3'}]",,,,,,,,,,,,TORRINGTON RADIOLOGISTS,NO,2008-10-21,2019-03-11,,A,STEPHEN,GO,8604897314,MD,,,,D,,208800000X,193200000X - Multi-Specialty Group,Urology,CT,,False,,,,CT Scan|Esophagram (Barium Swallow)|Fluoroscopy|MRI (1.5T and 3T)|Small Bowel Follow Through|Ultrasound|Upper GI Series (Barium)|X-Ray,ct_scan|esophagram|fluoroscopy|mri|small_bowel_follow_through|ultrasound|upper_gi_series|x_ray,Gastrointestinal Imaging|General Imaging,x-ray|x_ray|xray|radiograph|ct scan|ct_scan|ct|cat scan|mri (1.5t and 3t)|mri|ultrasound|sonogram|fluoroscopy|live x-ray|fluoro|esophagram (barium swallow)|esophagram|barium swallow|eso swallow|upper gi series (barium)|upper_gi_series|ugi|upper gi|small bowel follow through|small_bowel_follow_through|sbft|small bowel
temp_00005,1513796697000,NPI-2,1519152409000,1205342771,"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '153 S MAIN ST', 'city': 'NEWTOWN', 'state': 'CT', 'postal_code': '064702791', 'telephone_number': '845-278-6200'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '3839 DANBURY RD', 'city': 'BREWSTER', 'state': 'NY', 'postal_code': '105095412', 'telephone_number': '845-278-6200'}]",[],"{'organization_name': 'NORTHEAST RADIOLOGY OF CONNECTICUT, LLC', 'organizational_subpart': 'NO', 'enumeration_date': '2017-12-20', 'last_updated': '2018-02-20', 'status': 'A', 'authorized_official_first_name': 'HOWARD', 'authorized_official_last_name': 'LEE', 'authorized_official_telephone_number': '8452786200', 'authorized_official_title_or_position': 'President', 'authorized_official_credential': 'MD'}","[{'code': '2085R0202X', 'taxonomy_group': '193400000X - Multiple Single Specialty Group', 'desc': 'Radiology, Diagnostic Radiology', 'state': None, 'license': None, 'primary': True}]",[],[],[],US,United States,LOCATION,DOM,6 NORTHWESTERN DR,BLOOMFIELD,CT,060023463,860-289-3375,860-783-5733,,"NORTHEAST RADIOLOGY OF CONNECTICUT, LLC",NO,2017-12-20,2018-02-20,,A,HOWARD,LEE,8452786200,President,MD,,,,,208800000X,193200000X - Multi-Specialty Group,Urology,,,False,,,,CT Scan|Esophagram (Barium Swallow)|Fluoroscopy|MRI (1.5T and 3T)|Small Bowel Follow Through|Ultrasound|Upper GI Series (Barium)|X-Ray,ct_scan|esophagram|fluoroscopy|mri|small_bowel_follow_through|ultrasound|upper_gi_series|x_ray,Gastrointestinal Imaging|General Imaging,x-ray|x_ray|xray|radiograph|ct scan|ct_scan|ct|cat scan|mri (1.5t and 3t)|mri|ultrasound|sonogram|fluoroscopy|live x-ray|fluoro|esophagram (barium swallow)|esophagram|barium swallow|eso swallow|upper gi series (barium)|upper_gi_series|ugi|upper gi|small bowel follow through|small_bowel_follow_through|sbft|small bowel
temp_00006,1144343778000,NPI-2,1658439468000,1053373605,"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '1075 CHASE PKWY', 'city': 'WATERBURY', 'state': 'CT', 'postal_code': '067082948', 'telephone_number': '203-575-5555'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '1020A E BOAL AVE', 'city': 'BOALSBURG', 'state': 'PA', 'postal_code': '168271509', 'telephone_number': '814-237-8627', 'fax_number': '814-238-0083'}]",[],"{'organization_name': 'WATERBURY RADIATION ONCOLOGY ASSOCIATES, PC', 'organizational_subpart': 'NO', 'enumeration_date': '2006-04-06', 'last_updated': '2022-07-21', 'status': 'A', 'authorized_official_first_name': 'JEFFREY', 'authorized_official_last_name': 'BITTERMAN', 'authorized_official_middle_name': 'A', 'authorized_official_telephone_number': '2035755555', 'authorized_official_title_or_position': 'President', 'authorized_official_name_prefix': 'Dr.', 'authorized_official_name_suffix': '--', 'authorized_official_credential': 'MD'}","[{'code': '2085R0001X', 'taxonomy_group': '193400000X - Single Specialty Group', 'desc': None, 'state': 'CT', 'license': None, 'primary': True}]","[{'code': '05', 'desc': 'MEDICAID', 'issuer': None, 'identifier': '001201151', 'state': 'CT'}, {'code': '01', 'desc': 'Other (non-Medicare)', 'issuer': 'ANTHEM BCBS', 'identifier': '50WTBYRADCT01', 'state': 'CT'}, {'code': '01', 'desc': 'Other (non-Medicare)', 'issuer': 'PHS/HEALTHNET', 'identifier': 'OOR3664', 'state': 'CT'}, {'code': '01', 'desc': 'Other (non-Medicare)', 'issuer': 'OXFORD', 'identifier': 'P1007815', 'state': 'CT'}]",[],"[{'organization_name': 'WATERBURY RADIATION ONCOLOGY ASSOCIATES', 'type': 'Doing Business As', 'code': '3'}]",,,,,,,,,,,,"WATERBURY RADIATION ONCOLOGY ASSOCIATES, PC",NO,2006-04-06,2022-07-21,,A,JEFFREY,BITTERMAN,2035755555,President,MD,Dr.,--,A,,204F00000X,193200000X - Multi-Specialty Group,Transplant Surgery,CT,,False,VEIN INSTITUTE OF CONNECTICUT,Doing Business As,3,CT Scan|Esophagram (Barium Swallow)|Fluoroscopy|MRI (1.5T and 3T)|Small Bowel Follow Through|Ultrasound|Upper GI Series (Barium)|X-Ray,ct_scan|esophagram|fluoroscopy|mri|small_bowel_follow_through|ultrasound|upper_gi_series|x_ray,Gastrointestinal Imaging|General Imaging,x-ray|x_ray|xray|radiograph|ct scan|ct_scan|ct|cat scan|mri (1.5t and 3t)|mri|ultrasound|sonogram|fluoroscopy|live x-ray|fluoro|esophagram (barium swallow)|esophagram|barium swallow|eso swallow|upper gi series (barium)|upper_gi_series|ugi|upper gi|small bowel follow through|small_bowel_follow_through|sbft|small bowel
temp_00007,1154399147000,NPI-2,1658439452000,1235145194,"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '1020A BOAL AVE', 'city': 'BOALSBURG', 'state': 'PA', 'postal_code': '168271509', 'telephone_number': '814-237-8627', 'fax_number': '814-238-0083'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '1075 CHASE PKWY', 'city': 'WATERBURY', 'state': 'CT', 'postal_code': '067082948', 'telephone_number': '203-575-5555'}]",[],"{'organization_name': 'THE HAROLD LEEVER REGIONAL CANCER CENTER INC', 'organizational_subpart': 'NO', 'enumeration_date': '2006-07-31', 'last_updated': '2022-07-21', 'status': 'A', 'authorized_official_first_name': 'TOM', 'authorized_official_last_name': 'BELZEK', 'authorized_official_telephone_number': '2035755555', 'authorized_official_title_or_position': 'ADMINISTRATOR', 'authorized_official_name_prefix': '--', 'authorized_official_name_suffix': '--'}","[{'code': '2085B0100X', 'taxonomy_group': '193200000X - Multi-Specialty Group', 'desc': 'Radiology, Body Imaging', 'state': 'CT', 'license': None, 'primary': False}, {'code': '2085R0001X', 'taxonomy_group': '193200000X - Multi-Specialty Group', 'desc': None, 'state': 'CT', 'license': None, 'primary': True}]",[],[],[],,,,,,,,,,,,THE HAROLD LEEVER REGIONAL CANCER CENTER INC,NO,2006-07-31,2022-07-21,,A,TOM,BELZEK,2035755555,ADMINISTRATOR,,--,--,,,204F00000X,193200000X - Multi-Specialty Group,Transplant Surgery,,,True,,,,CT Scan|Esophagram (Barium Swallow)|Fluoroscopy|MRI (1.5T and 3T)|Small Bowel Follow Through|Ultrasound|Upper GI Series (Barium)|X-Ray,ct_scan|esophagram|fluoroscopy|mri|small_bowel_follow_through|ultrasound|upper_gi_series|x_ray,Gastrointestinal Imaging|General Imaging,x-ray|x_ray|xray|radiograph|ct scan|ct_scan|ct|cat scan|mri (1.5t and 3t)|mri|ultrasound|sonogram|fluoroscopy|live x-ray|fluoro|esophagram (barium swallow)|esophagram|barium swallow|eso swallow|upper gi series (barium)|upper_gi_series|ugi|upper gi|small bowel follow through|small_bowel_follow_through|sbft|small bowel
temp_00008,1689171789000,NPI-2,1706737034000,1508545211,"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '148 EAST AVE STE 1M', 'city': 'NORWALK', 'state': 'CT', 'postal_code': '068515721', 'telephone_number': '203-276-4311'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '148 EAST AVE STE 1M', 'city': 'NORWALK', 'state': 'CT', 'postal_code': '068515721', 'telephone_number': '203-276-4311'}]",[],"{'organization_name': 'STAMFORD HEALTH-NORWALK RADIOLOGY LLC', 'organizational_subpart': 'NO', 'enumeration_date': '2023-07-12', 'last_updated': '2024-01-31', 'certification_date': '2024-01-31', 'status': 'A', 'authorized_official_first_name': 'ELIZABETH', 'authorized_official_last_name': 'LONGMORE', 'authorized_official_telephone_number': '2032767931', 'authorized_official_title_or_position': 'President'}","[{'code': '2085R0202X', 'taxonomy_group': '193200000X - Multi-Specialty Group', 'desc': 'Radiology, Diagnostic Radiology', 'state': None, 'license': None, 'primary': True}]",[],[],[],,,,,,,,,,,,STAMFORD HEALTH-NORWALK RADIOLOGY LLC,NO,2023-07-12,2024-01-31,2024-01-31,A,ELIZABETH,LONGMORE,2032767931,President,,,,,,208G00000X,193200000X - Multi-Specialty Group,Thoracic Surgery (Cardiothoracic Vascular Surgery),,,False,"NEWTOWN DIAGNOSTIC IMAGING, LLC",Former Legal Business Name,4,CT Scan|Esophagram (Barium Swallow)|Fluoroscopy|MRI (1.5T and 3T)|Small Bowel Follow Through|Ultrasound|Upper GI Series (Barium)|X-Ray,ct_scan|esophagram|fluoroscopy|mri|small_bowel_follow_through|ultrasound|upper_gi_series|x_ray,Gastrointestinal Imaging|General Imaging,x-ray|x_ray|xray|radiograph|ct scan|ct_scan|ct|cat scan|mri (1.5t and 3t)|mri|ultrasound|sonogram|fluoroscopy|live x-ray|fluoro|esophagram (barium swallow)|esophagram|barium swallow|eso swallow|upper gi series (barium)|upper_gi_series|ugi|upper gi|small bowel follow through|small_bowel_follow_through|sbft|small bowel
temp_00009,1205952781000,NPI-2,1205952781000,1780855569,"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '3839 DANBURY RD', 'address_2': 'NORTHEAST RADIOLOGY', 'city': 'BREWSTER', 'state': 'NY', 'postal_code': '10509', 'telephone_number': '845-278-6200', 'fax_number': '845-278-7257'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '31 OLD ROUTE 7', 'address_2': 'NORTHEAST RADIOLOGY', 'city': 'BROOKFIELD', 'state': 'CT', 'postal_code': '06804', 'telephone_number': '845-278-6200', 'fax_number': '845-278-7257'}]",[],"{'organization_name': 'NORTHEAST RADIOLOGY OF CT LLC', 'organizational_subpart': 'NO', 'enumeration_date': '2008-03-19', 'last_updated': '2008-03-19', 'status': 'A', 'authorized_official_first_name': 'SCOTT', 'authorized_official_last_name': 'NADEL', 'authorized_official_telephone_number': '8452786200', 'authorized_official_title_or_position': 'MD', 'authorized_official_name_prefix': '--', 'authorized_official_name_suffix': '--'}","[{'code': '2085R0202X', 'taxonomy_group': '193400000X - Single Specialty Group', 'desc': 'Radiology, Diagnostic Radiology', 'state': None, 'license': None, 'primary': True}]",[],[],[],US,United States,LOCATION,DOM,399 FARMINGTON AVE LOWR 1,FARMINGTON,CT,060321937,860-289-3375,860-783-5733,,NORTHEAST RADIOLOGY OF CT LLC,NO,2008-03-19,2008-03-19,,A,SCOTT,NADEL,8452786200,MD,,--,--,,,208G00000X,193200000X - Multi-Specialty Group,Thoracic Surgery (Cardiothoracic Vascular Surgery),,,False,,,,CT Scan|Esophagram (Barium Swallow)|Fluoroscopy|MRI (1.5T and 3T)|Small Bowel Follow Through|Ultrasound|Upper GI Series (Barium)|X-Ray,ct_scan|esophagram|fluoroscopy|mri|small_bowel_follow_through|ultrasound|upper_gi_series|x_ray,Gastrointestinal Imaging|General Imaging,x-ray|x_ray|xray|radiograph|ct scan|ct_scan|ct|cat scan|mri (1.5t and 3t)|mri|ultrasound|sonogram|fluoroscopy|live x-ray|fluoro|esophagram (barium swallow)|esophagram|barium swallow|eso swallow|upper gi series (barium)|upper_gi_series|ugi|upper gi|small bowel follow through|small_bowel_follow_through|sbft|small bowel
temp_00010,1148539724000,NPI-2,1565706033000,1508812561,"[{'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'LOCATION', 'address_type': 'DOM', 'address_1': '863 N MAIN STREET EXT', 'city': 'WALLINGFORD', 'state': 'CT', 'postal_code': '064922434', 'telephone_number': '203-294-2721', 'fax_number': '203-949-2712'}, {'country_code': 'US', 'country_name': 'United States', 'address_purpose': 'MAILING', 'address_type': 'DOM', 'address_1': '101 N PLAINS INDUSTRIAL RD', 'city': 'WALLINGFORD', 'state': 'CT', 'postal_code': '064922360', 'telephone_number': '203-949-2700', 'fax_number': '203-949-2712'}]",[],"{'organization_name': 'MERIDEN IMAGING CENTER, INC.', 'organizational_subpart': 'NO', 'enumeration_date': '2006-05-25', 'last_updated': '2019-08-13', 'status': 'A', 'authorized_official_first_name': 'GARY', 'authorized_official_last_name': 'DEE', 'authorized_official_telephone_number': '2039492700', 'authorized_official_title_or_position': 'Owner', 'authorized_official_name_prefix': '--', 'authorized_official_name_suffix': '--', 'authorized_official_credential': 'MD'}","[{'code': '2085R0204X', 'taxonomy_group': '193400000X - Multiple Single Specialty Group', 'desc': 'Radiology, Vascular & Interventional Radiology', 'state': None, 'license': None, 'primary': False}, {'code': '363L00000X', 'taxonomy_group': '193400000X - Multiple Single Specialty Group', 'desc': 'Nurse Practitioner', 'state': None, 'license': None, 'primary': False}, {'code': '363LF0000X', 'taxonomy_group': '193400000X - Multiple Single Specialty Group', 'desc': 'Nurse Practitioner, Family', 'state': None, 'license': None, 'primary': False}, {'code': '2085R0202X', 'taxonomy_group': '193400000X - Multiple Single Specialty Group', 'desc': 'Radiology, Diagnostic Radiology', 'state': None, 'license': None, 'primary': True}]",[],[],[],,,,,,,,,,,,"MERIDEN IMAGING CENTER, INC.",NO,2006-05-25,2019-08-13,,A,GARY,DEE,2039492700,Owner,MD,--,--,,,208G00000X,193200000X - Multi-Specialty Group,Thoracic Surgery (Cardiothoracic Vascular Surgery),,,False,RADIOLOGY ASSOCIATES MRI,Other Name,5,CT Scan|Esophagram (Barium Swallow)|Fluoroscopy|MRI (1.5T and 3T)|Small Bowel Follow Through|Ultrasound|Upper GI Series (Barium)|X-Ray,ct_scan|esophagram|fluoroscopy|mri|small_bowel_follow_through|ultrasound|upper_gi_series|x_ray,Gastrointestinal Imaging|General Imaging,x-ray|x_ray|xray|radiograph|ct scan|ct_scan|ct|cat scan|mri (1.5t and 3t)|mri|ultrasound|sonogram|fluoroscopy|live x-ray|fluoro|esophagram (barium swallow)|esophagram|barium swallow|eso swallow|upper gi series (barium)|upper_gi_series|ugi|upper gi|small bowel follow through|small_bowel_follow_through|sbft|small bowel
